S15rvived,Age,Fare
0,15,7.6292
1,15,26.55
0,15,8.05
0,15,24.15
0,15,7.225
0,15,7.2292
0,15,221.7792
0,15,7.2292
1,15,22.3583
0,15,14.5
1,15,13.8625
0,15,7.8292
0,15,227.525
0,15,7.75
0,15,8.05
0,15,8.05
0,15,7.2292
1,15,7.75
0,15,14.4583
0,15,8.7125
0,15,8.05
0,15,7.75
1,15,33
0,15,7.225
0,15,7.8958
0,15,42.4
0,15,7.05
1,15,15.5
0,15,7.75
0,15,7.7333
0,15,0
0,15,16.1
1,15,56.4958
0,15,7.55
0,15,7.8958
1,15,7.8292
0,15,7.8958
0,15,7.775
1,15,52
0,15,0
0,15,8.1375
1,15,56.4958
1,15,7.7333
1,15,15.2458
0,15,26.55
0,15,15.5
1,15,7.7375
0,15,0
0,15,7.8958
0,15,7.8958
1,15,30
0,15,14.5
0,15,39.6
0,15,24.15
0,15,7.225
0,15,7.75
0,15,7.7375
0,15,23.45
0,15,7.75
0,15,69.55
0,15,30.6958
0,15,0
0,15,6.95
0,15,56.4958
1,15,7.75
0,15,7.2292
0,15,8.05
1,15,29.7
0,15,69.55
1,15,89.1042
0,15,7.2292
0,15,69.55
0,15,9.5
0,15,7.8958
0,15,23.45
