P2la11,1ex,Age,1ib1p,Par2h,Fare,Embarked,Title,Family1ize,Mother,2hild,De2k,2abinPo1
1,2,3,1,2,151.55,1,2,4,0,0,3,5
1,2,6,1,3,262.375,2,2,5,0,0,2,1
2,4,1,1,1,26,1,4,3,0,1,13.5,13.5
1,2,15,0,0,26.55,1,2,1,0,0,4,5
3,2,3,3,0,18,1,2,4,0,0,13.5,13.5
1,2,4,1,0,51.8625,1,2,2,0,0,4,5
3,4,15,0,0,8.05,1,4,1,0,0,13.5,13.5
1,2,15,0,0,26.55,1,2,1,0,0,13.5,13.5
1,2,2,0,0,26,2,2,1,0,0,13.5,13.5
1,4,2,0,1,83.1583,2,6,2,1,0,3,1
3,2,15,0,0,7.8958,2,2,1,0,0,13.5,13.5
1,2,15,0,0,0,1,2,1,0,0,13.5,13.5
3,4,1,1,1,12.1833,1,4,3,0,1,13.5,13.5
3,2,1,4,2,31.3875,1,8,7,0,1,13.5,13.5
3,2,15,0,0,7.575,1,2,1,0,0,13.5,13.5
1,4,6,1,0,221.7792,1,6,2,0,0,3,1
3,2,2,0,0,7.8542,1,2,1,0,0,13.5,13.5
1,2,4,0,0,26.55,1,2,1,0,0,4,5
3,4,1,1,1,13.775,1,4,3,0,1,13.5,13.5
3,4,15,0,0,7.7333,3,4,1,0,0,13.5,13.5
3,2,1,1,1,15.2458,2,8,3,0,1,13.5,13.5
2,2,2,0,0,13.5,1,2,1,0,0,13.5,13.5
3,4,4,1,0,7,1,6,2,0,0,13.5,13.5
2,2,4,0,0,13,1,2,1,0,0,13.5,13.5
3,4,2,1,1,22.025,1,6,3,1,0,13.5,13.5
1,2,4,0,0,50.4958,2,2,1,0,0,2,5
3,2,1,2,2,34.375,1,2,5,0,1,13.5,13.5
1,2,4,1,0,27.7208,2,2,2,0,0,4,1
3,4,2,0,0,8.9625,1,4,1,0,0,13.5,13.5
3,2,2,0,0,7.55,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.225,2,2,1,0,0,13.5,13.5
3,2,2,1,0,13.9,1,2,2,0,0,13.5,13.5
3,2,15,0,0,7.2292,2,2,1,0,0,6,13.5
3,2,4,1,5,31.3875,1,2,7,0,0,13.5,13.5
2,4,1,0,2,39,1,4,3,0,1,13.5,13.5
2,4,4,0,2,36.75,1,6,3,1,0,13.5,13.5
1,2,5,1,0,55.4417,2,2,2,0,0,3,10
2,4,1,2,1,39,1,4,4,0,1,6,5
1,2,3,1,1,83.1583,2,2,3,0,0,5,1
2,2,3,0,0,13,1,2,1,0,0,13.5,13.5
1,4,6,0,2,83.1583,2,6,3,1,0,5,1
1,4,1,1,0,53.1,1,6,2,0,0,4,5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
1,4,2,1,1,247.5208,2,6,3,1,0,2,1
2,2,4,0,0,16,1,2,1,0,0,13.5,13.5
2,4,2,0,0,21,1,6,1,0,0,13.5,13.5
3,4,1,0,0,8.05,1,4,1,0,0,13.5,13.5
3,4,15,1,9,69.55,1,6,11,0,1,13.5,13.5
2,2,4,0,0,13,1,2,1,0,0,13.5,13.5
2,2,2,0,0,26,1,2,1,0,0,13.5,13.5
1,2,15,0,0,26,1,2,1,0,0,13.5,13.5
3,2,1,1,1,14.5,1,8,3,0,1,13.5,13.5
2,2,6,0,0,12.35,3,2,1,0,0,13.5,13.5
2,2,1,0,2,32.5,1,8,3,0,1,13.5,13.5
3,2,2,0,0,7.8542,1,2,1,0,0,13.5,13.5
1,2,1,0,2,134.5,2,8,3,0,1,5,5
3,4,15,0,0,7.7792,3,4,1,0,0,13.5,13.5
2,2,2,0,0,10.5,1,2,1,0,0,13.5,13.5
3,4,15,0,0,8.1125,1,6,1,0,0,13.5,13.5
3,4,15,0,0,15.5,3,4,1,0,0,13.5,13.5
3,2,0,0,2,14.4,1,8,3,0,1,13.5,13.5
1,2,4,1,0,227.525,2,13,2,0,0,3,1
2,2,3,1,1,26,1,12,3,0,0,13.5,13.5
2,2,2,0,0,10.5,1,2,1,0,0,13.5,13.5
1,2,15,0,0,25.7417,2,2,1,0,0,13.5,13.5
3,4,3,0,0,7.75,3,4,1,0,0,13.5,13.5
2,2,2,0,0,10.5,1,2,1,0,0,13.5,13.5
1,4,15,0,0,27.7208,2,6,1,0,0,13.5,13.5
3,2,2,0,0,7.8958,1,2,1,0,0,13.5,13.5
3,2,3,0,0,22.525,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.05,1,2,1,0,0,13.5,13.5
2,2,1,0,0,73.5,1,2,1,0,0,13.5,13.5
2,2,5,1,0,26,1,2,2,0,0,13.5,13.5
3,2,2,0,0,7.775,1,2,1,0,0,13.5,13.5
1,2,4,0,0,42.5,1,2,1,0,0,2,5
3,2,2,0,0,7.8792,3,2,1,0,0,13.5,13.5
1,2,5,1,1,164.8667,1,2,3,0,0,13.5,13.5
1,2,3,0,0,211.5,2,2,1,0,0,3,10
3,2,15,0,0,8.05,1,2,1,0,0,13.5,13.5
2,2,2,0,0,13.8583,2,2,1,0,0,13.5,13.5
3,4,15,0,0,8.05,1,4,1,0,0,13.5,13.5
2,2,1,0,0,10.5,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.8208,3,2,1,0,0,13.5,13.5
1,4,5,0,0,27.4458,2,6,1,0,0,13.5,13.5
3,4,1,1,1,15.2458,2,4,3,0,1,13.5,13.5
3,2,2,0,0,7.7958,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
3,2,4,0,0,15.1,1,2,1,0,0,13.5,13.5
2,2,3,0,0,13,1,2,1,0,0,13.5,13.5
2,4,2,1,2,65,1,4,4,0,0,13.5,13.5
1,4,6,1,1,26.55,1,6,3,1,0,2,5
3,4,3,0,0,6.95,3,4,1,0,0,13.5,13.5
3,2,6,0,0,7.8792,1,2,1,0,0,13.5,13.5
1,2,3,1,0,71.2833,2,2,2,0,0,3,10
3,4,2,0,0,7.8542,1,4,1,0,0,13.5,13.5
1,2,6,1,0,75.25,2,2,2,0,0,4,5
3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
2,2,4,0,0,13,1,12,1,0,0,13.5,13.5
1,4,4,1,0,106.425,2,6,2,0,0,3,10
1,2,2,0,0,27.7208,2,2,1,0,0,4,1
2,4,4,0,2,30,1,6,3,1,0,13.5,13.5
1,2,4,1,1,134.5,2,2,3,0,0,5,5
3,2,15,0,0,7.8875,1,2,1,0,0,13.5,13.5
3,4,15,1,2,23.45,1,6,4,0,1,13.5,13.5
1,2,15,0,0,51.8625,1,2,1,0,0,5,1
2,4,3,0,0,21,1,6,1,0,0,13.5,13.5
2,2,4,1,1,32.5,1,2,3,0,0,13.5,13.5
1,2,3,0,0,26,1,2,1,0,0,3,10
3,2,15,1,0,14.4542,2,2,2,0,0,13.5,13.5
2,4,0,1,2,27.75,1,4,4,0,1,13.5,13.5
3,4,2,1,0,7.925,1,4,2,0,0,13.5,13.5
1,2,2,1,0,136.7792,2,2,2,0,0,3,10
3,2,2,0,0,9.325,1,2,1,0,0,13.5,13.5
3,2,3,0,0,9.5,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.55,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
3,2,2,0,0,8.05,1,2,1,0,0,13.5,13.5
2,4,1,1,1,13,1,4,3,0,1,13.5,13.5
3,4,1,0,0,7.775,1,4,1,0,0,13.5,13.5
3,2,3,1,0,17.4,1,2,2,0,0,13.5,13.5
3,4,2,0,0,7.8542,1,4,1,0,0,13.5,13.5
2,4,2,2,1,23,1,4,4,0,0,13.5,13.5
3,4,3,0,2,12.1833,1,6,3,1,0,13.5,13.5
2,2,3,0,0,12.7375,2,2,1,0,0,13.5,13.5
3,2,15,0,0,7.8958,1,2,1,0,0,13.5,13.5
1,2,4,0,0,0,1,2,1,0,0,2,1
3,2,15,0,0,7.55,1,2,1,0,0,13.5,13.5
3,2,15,0,0,8.05,1,2,1,0,0,13.5,13.5
3,4,2,0,0,8.6625,1,4,1,0,0,13.5,13.5
1,2,4,0,0,75.2417,2,2,1,0,0,3,5
3,2,15,1,0,7.75,3,2,2,0,0,13.5,13.5
1,4,2,1,0,136.7792,2,6,2,0,0,3,10
3,4,15,1,0,15.5,3,4,2,0,0,13.5,13.5
3,2,2,0,0,7.225,2,2,1,0,0,13.5,13.5
2,4,2,1,0,26,1,6,2,0,0,13.5,13.5
2,2,2,0,0,10.5,1,2,1,0,0,13.5,13.5
2,2,2,1,0,26,1,2,2,0,0,13.5,13.5
2,4,15,0,0,21,1,6,1,0,0,13.5,13.5
2,2,2,0,0,10.5,1,2,1,0,0,13.5,13.5
3,2,1,0,0,8.6625,1,2,1,0,0,13.5,13.5
3,2,0,1,1,13.775,1,8,3,0,1,13.5,13.5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
3,4,15,0,2,15.2458,2,6,3,0,1,13.5,13.5
3,4,1,1,1,20.2125,1,4,3,0,1,13.5,13.5
3,2,2,0,0,7.25,1,2,1,0,0,13.5,13.5
3,2,3,0,0,7.25,1,2,1,0,0,13.5,13.5
1,2,2,1,0,82.2667,1,2,2,0,0,2,1
3,2,1,0,0,7.2292,2,2,1,0,0,13.5,13.5
3,2,15,0,0,8.05,1,2,1,0,0,13.5,13.5
1,2,15,0,0,39.6,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7,1,2,1,0,0,13.5,13.5
3,2,3,0,2,7.2292,2,2,3,0,0,13.5,13.5
1,2,5,1,1,81.8583,1,10,3,0,0,1,5
3,2,3,0,0,9.5,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.8958,1,2,1,0,0,13.5,13.5
2,4,1,1,2,41.5792,2,4,4,0,1,13.5,13.5
3,2,15,2,0,21.6792,2,2,3,0,0,13.5,13.5
1,2,3,0,0,45.5,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.8542,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.775,1,2,1,0,0,13.5,13.5
2,2,4,0,0,15.0458,2,2,1,0,0,13.5,13.5
2,2,3,1,0,21,1,2,2,0,0,13.5,13.5
3,2,2,0,0,8.6625,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
1,2,3,0,0,26.55,1,2,1,0,0,13.5,13.5
1,4,3,0,0,151.55,1,4,1,0,0,13.5,13.5
3,2,0,0,1,9.35,1,8,2,0,1,13.5,13.5
1,2,2,0,0,93.5,1,2,1,0,0,2,5
3,4,4,1,0,14.1083,1,6,2,0,0,13.5,13.5
3,4,2,2,0,8.6625,1,4,3,0,0,13.5,13.5
3,2,2,0,0,7.225,2,2,1,0,0,13.5,13.5
3,2,3,0,0,7.5792,1,2,1,0,0,13.5,13.5
3,4,15,0,0,7.75,3,4,1,0,0,13.5,13.5
1,4,5,0,0,135.6333,2,6,1,0,0,3,5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
1,2,5,1,0,146.5208,2,2,2,0,0,2,1
2,2,1,0,0,10.5,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.8542,1,2,1,0,0,13.5,13.5
2,2,2,2,0,31.5,1,2,3,0,0,13.5,13.5
3,2,2,0,0,7.775,1,2,1,0,0,13.5,13.5
3,4,1,0,0,7.2292,2,6,1,0,0,13.5,13.5
2,2,2,0,0,13,1,2,1,0,0,13.5,13.5
1,4,2,0,0,26.55,1,4,1,0,0,13.5,13.5
1,4,3,0,0,211.3375,1,4,1,0,0,13.5,13.5
3,2,15,0,0,7.225,2,2,1,0,0,13.5,13.5
2,4,3,0,3,39,1,6,4,1,0,6,5
1,4,4,1,1,79.2,2,6,3,1,0,2,1
1,2,5,0,0,26,1,2,1,0,0,5,1
2,4,1,0,0,13,1,4,1,0,0,13.5,13.5
2,4,2,0,0,36.75,1,4,1,0,0,13.5,13.5
1,2,3,0,0,29.7,2,2,1,0,0,1,5
3,2,15,0,0,7.225,2,2,1,0,0,13.5,13.5
3,4,1,1,1,15.7417,2,6,3,1,0,13.5,13.5
3,2,2,0,0,7.8958,1,2,1,0,0,13.5,13.5
2,2,2,1,0,26,1,2,2,0,0,13.5,13.5
2,2,3,0,0,13,1,2,1,0,0,13.5,13.5
3,2,2,0,0,7.2292,2,2,1,0,0,6,13.5
2,2,2,0,0,31.5,1,2,1,0,0,13.5,13.5
3,2,15,0,0,7.2292,2,2,1,0,0,13.5,13.5
2,4,2,0,0,10.5,1,6,1,0,0,6,5
3,4,3,0,0,7.6292,3,4,1,0,0,13.5,13.5
3,4,15,8,2,69.55,1,4,11,0,1,13.5,13.5
1,4,5,0,1,512.3292,2,6,2,1,0,2,1
3,4,15,0,0,14.5,1,6,1,0,0,13.5,13.5
3,4,15,0,0,7.7208,3,4,1,0,0,13.5,13.5
2,2,2,0,0,13,1,2,1,0,0,13.5,13.5
3,4,3,0,0,7.2292,2,6,1,0,0,13.5,13.5
2,4,2,0,0,13.5,1,4,1,0,0,13.5,13.5
2,4,2,0,1,21,1,4,2,0,0,13.5,13.5
1,4,4,0,1,63.3583,2,6,2,1,0,4,5
2,2,2,0,0,10.5,1,2,1,0,0,13.5,13.5
2,2,1,0,0,73.5,1,2,1,0,0,13.5,13.5
2,2,4,1,2,65,1,2,4,0,0,13.5,13.5
3,4,3,1,2,20.575,1,6,4,1,0,13.5,13.5
1,2,4,0,0,26,1,2,1,0,0,13.5,13.5
1,4,5,2,0,51.4792,1,6,3,0,0,3,10
3,2,15,0,0,7.8792,3,2,1,0,0,13.5,13.5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
3,4,3,1,0,15.55,1,6,2,0,0,13.5,13.5
3,2,1,8,2,69.55,1,8,11,0,1,13.5,13.5
2,4,2,1,1,37.0042,2,6,3,1,0,13.5,13.5
2,4,3,0,0,21,1,4,1,0,0,13.5,13.5
3,2,2,0,0,8.6625,1,2,1,0,0,13.5,13.5
1,4,4,1,0,55.4417,2,6,2,0,0,3,10
3,2,15,1,9,69.55,1,2,11,0,1,13.5,13.5
3,2,15,1,0,14.4583,2,2,2,0,0,13.5,13.5
3,4,2,0,0,39.6875,1,4,1,0,0,13.5,13.5
1,4,2,0,1,59.4,2,4,2,0,0,13.5,13.5
2,4,3,1,0,13.8583,2,4,2,0,0,13.5,13.5
2,2,2,1,0,11.5,1,2,2,0,0,13.5,13.5
1,4,3,0,0,134.5,2,4,1,0,0,5,5
3,2,1,0,1,3.1708,1,8,2,0,1,13.5,13.5
2,2,5,0,0,13,1,2,1,0,0,13.5,13.5
1,4,5,1,1,81.8583,1,6,3,1,0,1,5
1,4,3,0,0,262.375,2,4,1,0,0,2,1
3,2,1,0,0,8.6625,1,2,1,0,0,13.5,13.5
2,2,2,0,0,11.5,1,2,1,0,0,13.5,13.5
1,2,5,0,0,50,1,2,1,0,0,3,5
3,2,1,4,2,31.3875,1,8,7,0,1,13.5,13.5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
3,4,2,0,0,7.8792,3,4,1,0,0,13.5,13.5
3,2,5,1,0,14.5,1,2,2,0,0,13.5,13.5
3,4,1,0,1,16.1,1,4,2,0,1,13.5,13.5
2,2,15,0,0,12.875,1,2,1,0,0,13.5,13.5
2,2,1,0,0,65,1,2,1,0,0,13.5,13.5
3,4,3,4,2,7.775,1,4,7,0,0,13.5,13.5
2,2,2,0,0,13,1,2,1,0,0,6,5
3,4,2,0,0,7.75,3,4,1,0,0,13.5,13.5
3,2,1,3,1,21.075,1,8,5,0,1,13.5,13.5
1,2,5,1,1,93.5,1,2,3,0,0,2,1
1,4,5,0,1,39.4,1,6,2,1,0,4,5
3,2,1,0,2,20.25,1,8,3,0,1,13.5,13.5
2,2,4,0,0,10.5,1,2,1,0,0,13.5,13.5
3,2,2,3,1,22.025,1,2,5,0,0,13.5,13.5
1,4,1,1,0,60,1,6,2,0,0,3,5
3,4,1,0,0,7.2833,3,4,1,0,0,13.5,13.5
1,2,4,0,0,79.2,2,2,1,0,0,13.5,13.5
3,4,2,0,0,7.775,1,4,1,0,0,13.5,13.5
3,4,1,0,0,7.7333,3,4,1,0,0,13.5,13.5
1,4,3,0,0,164.8667,1,4,1,0,0,3,5
2,2,3,1,0,21,1,2,2,0,0,13.5,13.5
1,4,4,0,1,59.4,2,6,2,1,0,13.5,13.5
1,2,1,0,0,47.1,1,2,1,0,0,13.5,13.5
1,4,3,0,0,27.7208,2,4,1,0,0,1,5
2,2,2,0,0,13.8625,2,2,1,0,0,4,5
2,2,2,1,0,10.5,1,2,2,0,0,13.5,13.5
1,2,5,1,1,211.5,2,2,3,0,0,3,1
3,4,2,0,0,7.725,3,4,1,0,0,13.5,13.5
3,4,2,0,2,13.775,1,6,3,1,0,13.5,13.5
3,2,15,0,0,7.75,3,2,1,0,0,13.5,13.5
1,4,3,1,0,90,3,6,2,0,0,3,1
3,2,2,0,0,7.775,1,2,1,0,0,13.5,13.5
3,2,15,0,0,8.05,1,2,1,0,0,13.5,13.5
1,4,3,0,0,108.9,2,7,1,0,0,3,10
3,2,3,0,0,7.25,1,2,1,0,0,13.5,13.5
3,2,15,0,0,8.05,1,2,1,0,0,13.5,13.5
3,2,15,1,1,22.3583,2,8,3,0,1,13.5,13.5
